hash	study_hash	study_id	analysis_id	analysis_summary	analysis_type	instrument_name	instrument_type	ms_type	ion_mode
85ac1ab7b859b69df04301117441c1498fb66a2b	9fbcb98b286ea12213032e7b1fb2f2536f27c627	ST000096	AN000154	Endocannabinoid analysis, positive	MS	ABI Sciex API 4000 QTrap	Triple quadrupole	ESI	POSITIVE
2a5339e9c3e94952d04eced7874c25d394cf0440	f522c082e9833a085bf99c1e5a9be52da277eb75	ST000097	AN000155	NMR: Varian, VNMRJ, (1D 13C)	NMR	NA	FT-NMR	NA	NA
90159ef00c8227daebb11891dd20664df77339fc	f522c082e9833a085bf99c1e5a9be52da277eb75	ST000097	AN000156	NMR: Varian, VNMRJ, (1D 1H)	NMR	NA	FT-NMR	NA	NA
9523eaaabfa63a716acc065de3d863aa86ea12ee	dc342ea45b63b548296faa5e6d2d7d5b0428fc4a	ST000098	AN000157	ESI positive ion mode/Full MS	MS	Thermo Q Exactive Orbitrap	Orbitrap	ESI	POSITIVE
e762ddb641824543dc0b8ce8e9edd50aff630e9a	dc342ea45b63b548296faa5e6d2d7d5b0428fc4a	ST000098	AN000158	ESI positive ion mode/Full MS/DD-MS2 (TOPN)	MS	Thermo Q Exactive Orbitrap	Orbitrap	ESI	POSITIVE
2e4a68c0148c799750df1ec0e86d2709b10ab588	dc342ea45b63b548296faa5e6d2d7d5b0428fc4a	ST000098	AN000159	ESI negative ion mode/Full MS/DD-MS2 (TOPN)	MS	Thermo Q Exactive Orbitrap	Orbitrap	ESI	NEGATIVE
b12435c7585a12bb9c677994f093045e000ffc42	dc342ea45b63b548296faa5e6d2d7d5b0428fc4a	ST000098	AN000160	NMR:HSQC	NMR	Thermo Q Exactive Orbitrap	FT-NMR	ESI	NEGATIVE
d9ba137c9819b6829bc7e918bf94945af3a2ff2a	dc342ea45b63b548296faa5e6d2d7d5b0428fc4a	ST000098	AN000161	NMR:HSQC-TOCSY	NMR	Thermo Q Exactive Orbitrap	FT-NMR	ESI	NEGATIVE
05d6bc762c46695cb3610dbf43944da6fa533fb3	dc342ea45b63b548296faa5e6d2d7d5b0428fc4a	ST000098	AN000162	NMR:13C 1D	NMR	Thermo Q Exactive Orbitrap	FT-NMR	ESI	NEGATIVE
6ff47aafc97b026d4a7330055d898b3d76c7e7b6	22249813204c9c41379a18d8c8e8795b0784f652	ST000099	AN000163	NMR:13C 1D	NMR	NA	FT-NMR	NA	NA
73693648463b53c9d2d44fef3669424f4b57ab0a	d7ad2e5c13d9e0b8b085b1aa08d249515a5485ef	ST000100	AN000165	HESI positive ion mode	MS	Thermo Q Exactive Orbitrap	Orbitrap	ESI	POSITIVE
f4c9d2b484dfc8b29d7ba99ea295cd66d334e313	d7ad2e5c13d9e0b8b085b1aa08d249515a5485ef	ST000100	AN000166	HESI negative ion mode	MS	Thermo Q Exactive Orbitrap	Orbitrap	ESI	NEGATIVE
48433299bea157a5c7557cbf857903cd76a83691	0af09ce1124e12f6d4d2453ea9e5080b49678c60	ST000101	AN000167	NMR:13C 1D	NMR	NA	FT-NMR	NA	NA
a1e43f3eaedd9b24c1488af1a56ad46e6046ff78	0af09ce1124e12f6d4d2453ea9e5080b49678c60	ST000101	AN000168	NMR: 1D 1H	NMR	NA	FT-NMR	NA	NA
0ccb56111de14d8c23d2f40d7a5df024084a65af	dad7f5217afe2923b1f55f7921f93263cc07617e	ST000102	AN000169	NMR: 1D presaturation 1H	NMR	NA	FT-NMR	NA	NA
2c32f5fa6d29b9bb5939a45761fe2d538f808d50	dad7f5217afe2923b1f55f7921f93263cc07617e	ST000102	AN000170	NMR: 2D 1H-13C HSQC	NMR	NA	FT-NMR	NA	NA
bd46bdd1d5345093783da74e06b779eeda2f71cb	5e811a7bcc0431b613863f4086aaf642c65fe2b0	ST000103	AN000171	NMR:2D 1H-13C HSQC	NMR	NA	FT-NMR	NA	NA
b1bf2efdc32094d0a3afee55e2056f110f418673	e05ea4b604caaa5094b05bfc442f36296b31c500	ST000104	AN000172	NMR:INADEQUATE	NMR	NA	FT-NMR	NA	NA
c3740e34788023aca65b988d76356617a589d1fd	7d0360276849fd5d39ba458abbed73a7224f2be9	ST000105	AN000173	MS Q-TOF 6530 positive ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	POSITIVE
b0073f2d8a105c39a35f0aa1b79bc1dac22ce35a	7d0360276849fd5d39ba458abbed73a7224f2be9	ST000105	AN000174	ESI negative ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	NEGATIVE
d7f370c7e2ef6c7bb873a33da3797c974ffe57cf	f78ae2fbf11bb79ffaf3d3b7fb0937913e056e4a	ST000106	AN000175	ESI positive ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	POSITIVE
b6a338201a6587e4119592dcd0a116ba79f080d0	f78ae2fbf11bb79ffaf3d3b7fb0937913e056e4a	ST000106	AN000176	ESI negative ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	NEGATIVE
e4f2b2dfed71322c2f81ba174dcea831b09cce66	b1f000c6537ac39c61a3b9e46f4eeb03f5fd1bd3	ST000107	AN000177	LCMS Positive ion mode	MS	ABI Sciex API 4000 QTrap	Triple quadrupole	ESI	POSITIVE
c33333b96dbd9fd98925ec44fbc73b10db79b317	b1f000c6537ac39c61a3b9e46f4eeb03f5fd1bd3	ST000107	AN000178	GCMS Positive ion mode	MS	Agilent 5973N	Single quadrupole	EI	POSITIVE
650d4e80c309da13be9545401c13c5eb36bc560f	6aa5b27ee5a5ecdd7ce5ccececb53a6656e142fa	ST000110	AN000183	ESI positive ion mode	MS	Thermo LTQ-FT	Single quadrupole	ESI	POSITIVE
0a1c420c522cdfff0044cd40e37a6142c4215fa4	6aa5b27ee5a5ecdd7ce5ccececb53a6656e142fa	ST000110	AN000184	ESI negative ion mode	MS	Thermo LTQ-FT	Single quadrupole	ESI	NEGATIVE
202afcd5b5b615ed68d1ae3571fe7215d2c82a48	6aa5b27ee5a5ecdd7ce5ccececb53a6656e142fa	ST000110	AN000185	GCMS positive ion mode	MS	Thermo ITQ	GC-ITQ	EI	POSITIVE
073ea3b575a303fadf20879dcb8e3ecc643535cc	d0a33f8ef5fa42c5c9a543c00fe515ab917c5729	ST000111	AN000186	GCMS positive ion mode	MS	Thermo ITQ	GC-ITQ	EI	POSITIVE
930bc56c1e6c3c15d6aff093c9bd496f7ef52984	3e17ccf4fd6434787d3297733d782ba8402dba50	ST000113	AN000190	FTMS positive ion mode	MS	Thermo LTQ-FT	Single quadrupole	ESI	POSITIVE
ae7e38992d5fa67fc80d53c95f0c649db0c5fd96	3e17ccf4fd6434787d3297733d782ba8402dba50	ST000113	AN000191	GCMS positive ion mode	MS	Thermo ITQ	GC-ITQ	EI	POSITIVE
1c2786b1c91da58cc14316ac1f6ccdad1ac86418	9a49e4f9a58e31ad1dca754205ac626b7b5a2964	ST000114	AN000192	FTMS positive ion mode	MS	Thermo LTQ-FT	Single quadrupole	ESI	POSITIVE
e7a9b37fcc00decbf72e157b8463ef1b04cf7345	9a49e4f9a58e31ad1dca754205ac626b7b5a2964	ST000114	AN000193	FTMS negative ion mode	MS	Thermo LTQ-FT	Single quadrupole	ESI	NEGATIVE
6c4aa6d3d7c14983870a2b80b67615f2d72de235	9a49e4f9a58e31ad1dca754205ac626b7b5a2964	ST000114	AN000194	GCMS positive ion mode	MS	Thermo ITQ	GC-ITQ	EI	POSITIVE
a8850d6a856555f8053ba6f5adfb7e3032968d06	1c52c670a5017eeec432bc4fdcc61badb3d7780e	ST000115	AN000195	QTOF negative ion mode	MS	ABI Sciex API 5000 QQQ	Triple quadrupole	ESI	NEGATIVE
0ee698c81c4a52ee2b7cbf2ddea9778b7eb789c0	1c52c670a5017eeec432bc4fdcc61badb3d7780e	ST000115	AN000196	UHPLC-ESI-MS/MS positive ion mode	MS	Thermo TSQ Quantum Ultra	Triple quadrupole	ESI	POSITIVE
1bf99e021c7b4c0c966d1229805b6e83d8f69820	457537daac66ee389fe53554491cdd1ec7f6608b	ST000116	AN000197	LC/MS positive/negative ion mode	MS	Shimadzu LCMS-IT-TOF	IT-TOF	ESI	POSITIVE/NEGATIVE
7e14da2df510c9374d60aeea4234ac4d57058683	b92153899efc1dfdd3cd961dea55f3a6438d65b7	ST000117	AN000198	GCMS positive ion mode	MS	Leco Pegasus III GC TOF	GC-TOF	EI	POSITIVE
2e6cf1df88d71976d85222e7d0a44d8a775311a7	f533fa10ca906f67d06227398e4afdbaa7dbde56	ST000118	AN000199	GCMS positive ion mode	MS	Leco Pegasus III GC TOF	GC-TOF	EI	POSITIVE
444e7d35ce276053442e4dc0e25a71c0d49f5fa2	87fef7448077fe73e0cd9174a8b1c31f58a6fafb	ST000119	AN000200	ESI positive ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	POSITIVE
506c5a453f1e5ccd3404ac591ce06ac5cc9c69c3	87fef7448077fe73e0cd9174a8b1c31f58a6fafb	ST000119	AN000201	ESI negative ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	NEGATIVE
75aa26575d55cee14655e4eed393806923aaddc4	6d699b1e6965775e350bf132a78f715b34c76a59	ST000120	AN000202	UPLC-MS/MS	MS	Waters Xevo-TQ	Triple quadrupole	ESI	POSITIVE
99e30ff03be2e60a4d010bad3c5180b5c63e81af	89913843cc36287c829fac6dd308ac22831ad8cf	ST000121	AN000203	ESI negative ion mode	MS	Agilent 6220 TOF	TOF	ESI	NEGATIVE
523d987a331eca481c4a8b809e9f2c1c93e47e9a	44b872fb4abe816ef923ff67f921411610f5a70c	ST000122	AN000204	UPLC-MS/MS	MS	Waters Xevo-TQ	Triple quadrupole	ESI	POSITIVE
b04ec599ed83210b5c7382da95e9e522288b4679	55e6d1307ee285065e2de9c379ecf90e84496449	ST000133	AN000215	NMR: 1D 1H	NMR	NA	FT-NMR	NA	NA
4e8272295f4e2389328c37374fd36e43f7eb16a9	7ccc84e041efe062c8b4bc51a41c517816bbb284	ST000134	AN000216	NMR: 1D 1H	NMR	NA	FT-NMR	NA	NA
07f56c3635aa90694bd02626067e6f9487e44d83	b126737864bcff30dfff91bc31cb9bc5ef72237c	ST000135	AN000217	MS positive ion mode	MS	Waters	Triple quadrupole	ESI	POSITIVE
1f06fbd68f06980df985f9cf43156d15ae05400c	2be44e2e350fbaee64b927aac815caa04b0ba04a	ST000136	AN000218	MS positive ion mode	MS	Thermo Q Exactive Orbitrap	Orbitrap	ESI	POSITIVE
94f96f4dde68bbf1be9bd85fb9740e3063113ec0	b9fefa1fe4e3c8ee8323c13f319ce0cafaa06940	ST000137	AN000219	NMR	NMR	NA	FT-NMR	NA	NA
1bea31c6a13b67999988a7b4922aa1d3ca6dc8f6	b8b06f3c5b79d06aa67028eeab535f152a11fc5d	ST000138	AN000220	MS positive ion mode	MS	Agilent 6490 QQQ	Triple quadrupole	ESI	POSITIVE
6b40a032345d6903e2869ba812339a9d8d9eda68	61e5e5939507005d81ca978b3b4495194899ede4	ST000140	AN000222	MS positive ion mode	MS	Thermo Q Exactive Orbitrap	Orbitrap	ESI	POSITIVE
